numbers,product
"(206, 433)",89198
"(207, 222)",45954
"(207, 447)",92529
"(207, 467)",96669
"(208, 406)",84448
"(209, 275)",57475
"(209, 304)",63536
"(209, 489)",102201
"(209, 659)",137731
"(209, 739)",154451
"(209, 819)",171171
"(209, 909)",189981
"(209, 978)",204402
"(211, 214)",45154
"(211, 326)",68786
"(211, 439)",92629
"(212, 212)",44944
"(213, 322)",68586
"(213, 359)",76467
"(213, 396)",84348
"(213, 433)",92229
"(214, 304)",65056
"(215, 241)",51815
"(215, 249)",53535
"(215, 257)",55255
"(216, 224)",48384
"(216, 296)",63936
"(216, 311)",67176
"(216, 383)",82728
"(217, 351)",76167
"(218, 297)",64746
"(218, 386)",84148
"(218, 411)",89598
"(219, 226)",49494
"(219, 274)",60006
"(219, 333)",72927
"(219, 363)",79497
"(219, 411)",90009
"(221, 245)",54145
"(221, 378)",83538
"(222, 273)",60606
"(222, 278)",61716
"(222, 283)",62826
"(222, 288)",63936
"(222, 364)",80808
"(222, 369)",81918
"(222, 946)",210012
"(223, 255)",56865
"(223, 265)",59095
"(223, 366)",81618
"(223, 443)",98789
"(223, 847)",188881
"(224, 294)",65856
"(224, 377)",84448
"(225, 233)",52425
"(225, 255)",57375
"(226, 358)",80908
"(227, 364)",82628
"(227, 437)",99199
"(227, 803)",182281
"(228, 307)",69996
"(228, 381)",86868
"(229, 352)",80608
"(229, 382)",87478
"(231, 286)",66066
"(231, 429)",99099
"(231, 471)",108801
"(231, 481)",111111
"(231, 601)",138831
"(231, 611)",141141
"(231, 731)",168861
"(231, 741)",171171
"(231, 861)",198891
"(231, 952)",219912
"(231, 962)",222222
"(232, 263)",61016
"(232, 273)",63336
"(232, 283)",65656
"(232, 293)",67976
"(232, 354)",82128
"(232, 364)",84448
"(232, 374)",86768
"(233, 339)",78987
"(234, 259)",60606
"(234, 357)",83538
"(235, 239)",56165
"(235, 245)",57575
"(235, 251)",58985
"(236, 348)",82128
"(237, 364)",86268
"(237, 387)",91719
"(238, 292)",69496
"(238, 351)",83538
"(238, 924)",219912
"(239, 254)",60706
"(239, 284)",67876
"(239, 539)",128821
"(241, 368)",88688
"(242, 273)",66066
